sample_id,guideline_version,annotator_id,timestamp,true_label,revision_id,device_id,sampling_rate_hz,axis_config,sensor_noise_std,noise_score,annotation_timestamp
116,v1.0,annotator_3,2020-01-05 20:00:00,1,0,SamsungS2,100,rotated_5deg,0.006387183811523111,0.010665788647994261,
117,v1.0,annotator_6,2020-01-05 21:00:00,1,0,SamsungS3,50,standard,0.06676926664394255,1.1270566451011304e-09,
118,v1.0,annotator_3,2020-01-05 22:00:00,1,0,SamsungS2,50,rotated_10deg,0.0005935395324076553,0.007000022520245735,
119,v1.0,annotator_4,2020-01-05 23:00:00,1,0,SamsungS3,50,standard,0.02322255651146906,0.0351752061338378,
120,v1.0,annotator_4,2020-01-06 00:00:00,1,0,SamsungS3,50,rotated_10deg,0.02858879971133587,0.02191424682517793,
121,v1.0,annotator_4,2020-01-06 01:00:00,1,0,SamsungS2,50,standard,0.08007529745774662,0.008430538298514138,
122,v1.0,annotator_1,2020-01-06 02:00:00,1,0,SamsungS2,50,standard,0.14248945465155458,0.06103857967674462,
123,v1.0,annotator_1,2020-01-06 03:00:00,1,0,SamsungS2,50,standard,0.002972736230927475,0.013665928544290959,
124,v1.0,annotator_3,2020-01-06 04:00:00,1,0,SamsungS2,50,standard,0.03550343402024423,0.00843052441844169,
125,v1.0,annotator_6,2020-01-06 05:00:00,3,0,SamsungS2,50,rotated_5deg,0.14541809365122882,0.24377943947692488,
126,v1.0,annotator_3,2020-01-06 06:00:00,3,0,SamsungS2,100,standard,0.13224791185229864,0.20037861897232415,
127,v1.0,annotator_1,2020-01-06 07:00:00,3,0,SamsungS2,50,standard,0.12522749389533142,0.1308538028593149,
128,v1.0,annotator_2,2020-01-06 08:00:00,3,0,SamsungS3,50,standard,0.013770023825128453,0.15302095304439775,
129,v1.0,annotator_3,2020-01-06 09:00:00,3,0,SamsungS2,50,rotated_5deg,0.09661474221873795,0.01766445711565868,
130,v1.0,annotator_3,2020-01-06 10:00:00,3,0,SamsungS3,50,standard,0.030470294994658607,0.019665329869253605,
131,v1.0,annotator_6,2020-01-06 11:00:00,3,0,SamsungS3,50,standard,0.09765367524606573,0.10688778916851034,
132,v1.0,annotator_3,2020-01-06 12:00:00,3,0,SamsungS2,50,standard,0.0641296678040981,0.17516808079141297,
133,v1.0,annotator_2,2020-01-06 13:00:00,3,0,SamsungS2,50,standard,0.0953504364530804,0.1498511852119605,
134,v1.0,annotator_3,2020-01-06 14:00:00,3,0,SamsungS2,100,standard,0.06432912942525991,0.03474430571056405,
135,v1.0,annotator_4,2020-01-06 15:00:00,3,0,SamsungS2,50,standard,0.13615562822077806,0.017665017703891128,
136,v1.0,annotator_3,2020-01-06 16:00:00,3,0,SamsungS3,100,rotated_5deg,0.003796254647311575,0.02020858493293984,
137,v1.0,annotator_2,2020-01-06 17:00:00,3,0,SamsungS2,50,standard,0.028734908605187362,0.024913393280915068,
138,v1.0,annotator_2,2020-01-06 18:00:00,3,0,SamsungS3,50,standard,0.12494955102034735,0.04403700011155397,
139,v1.0,annotator_4,2020-01-06 19:00:00,3,0,SamsungS3,50,rotated_10deg,0.11051234094065913,0.0553646645521456,
140,v1.0,annotator_1,2020-01-06 20:00:00,3,0,SamsungS2,50,rotated_5deg,0.027943870423944195,0.020665715540416147,
141,v1.0,annotator_2,2020-01-06 21:00:00,3,0,SamsungS2,50,standard,0.018215470951830775,0.020430222043519616,
142,v1.0,annotator_1,2020-01-06 22:00:00,3,0,SamsungS2,50,rotated_10deg,0.046689172168774065,0.10334077624116733,
143,v1.0,annotator_6,2020-01-06 23:00:00,3,0,SamsungS3,50,rotated_5deg,0.07228027670490562,0.031430142980417054,
144,v1.0,annotator_1,2020-01-07 00:00:00,3,0,SamsungS2,50,standard,0.00704080410759823,0.18710092703337153,
145,v1.0,annotator_4,2020-01-07 01:00:00,3,0,SamsungS3,50,standard,0.12683833743899742,0.033173198302419125,
146,v1.0,annotator_3,2020-01-07 02:00:00,3,0,SamsungS3,50,standard,0.07814289520398238,0.019430132286829986,
147,v1.0,annotator_3,2020-01-07 03:00:00,3,0,SamsungS2,50,rotated_5deg,0.13792248457948528,0.205394332772537,
148,v1.0,annotator_4,2020-01-07 04:00:00,3,0,SamsungS2,50,standard,0.048855803896449224,0.11143906602354828,
149,v1.0,annotator_2,2020-01-07 05:00:00,3,0,SamsungS2,50,standard,0.007324511473194916,0.11316717912171362,
150,v1.0,annotator_2,2020-01-07 06:00:00,2,0,SamsungS2,50,standard,0.13070404082812426,0.03466553419538075,
151,v1.0,annotator_2,2020-01-07 07:00:00,2,0,SamsungS2,50,standard,0.02244264945812287,0.025665957310448812,
152,v1.0,annotator_3,2020-01-07 08:00:00,2,0,SamsungS2,50,standard,0.05034630133381642,0.05074421170142255,
153,v1.0,annotator_6,2020-01-07 09:00:00,2,0,SamsungS2,50,rotated_10deg,0.06965103240056222,0.007000006144681148,
154,v1.0,annotator_6,2020-01-07 10:00:00,2,0,SamsungS2,50,standard,0.0737919633264255,0.015430263234161584,
155,v1.0,annotator_4,2020-01-07 11:00:00,2,0,SamsungS2,100,rotated_10deg,0.003522169231463218,0.08200071168752651,
156,v1.0,annotator_6,2020-01-07 12:00:00,2,0,SamsungS2,50,rotated_5deg,0.07901130611513214,0.008208515953202388,
157,v1.0,annotator_6,2020-01-07 13:00:00,2,0,SamsungS3,100,standard,0.01155481463711272,0.03717520007775808,
158,v1.0,annotator_4,2020-01-07 14:00:00,2,0,SamsungS2,50,rotated_5deg,0.04902614060604772,0.021913732168704944,
159,v1.0,annotator_2,2020-01-07 15:00:00,2,0,SamsungS2,50,standard,0.14632079587168137,0.02417624366853583,
160,v1.0,annotator_3,2020-01-07 16:00:00,2,0,SamsungS2,50,rotated_5deg,0.042055617621089884,0.0251773666426184,
161,v1.0,annotator_6,2020-01-07 17:00:00,2,0,SamsungS2,50,rotated_5deg,0.12193079625789313,0.015665748998797177,
162,v1.0,annotator_4,2020-01-07 18:00:00,2,0,SamsungS2,50,rotated_5deg,0.07654780108231837,0.01020864542477924,
163,v1.0,annotator_5,2020-01-07 19:00:00,2,0,SamsungS3,50,standard,0.030362181108182933,0.00300000557451987,
164,v1.0,annotator_1,2020-01-07 20:00:00,2,0,SamsungS3,50,rotated_5deg,0.10829045779717512,0.004208631768387873,
165,v1.0,annotator_1,2020-01-07 21:00:00,2,0,SamsungS3,50,standard,0.08327091161441927,0.010430620522647538,
166,v1.0,annotator_2,2020-01-07 22:00:00,2,0,SamsungS2,50,standard,0.07995501586574276,0.019430602068763722,
167,v1.0,annotator_1,2020-01-07 23:00:00,2,0,SamsungS3,100,rotated_5deg,0.0044853590101560925,0.013430315062536887,
168,v1.0,annotator_6,2020-01-08 00:00:00,2,0,SamsungS3,50,rotated_5deg,0.05007679027922866,0.016208582725737122,
169,v1.0,annotator_1,2020-01-08 01:00:00,2,0,SamsungS3,50,standard,0.11020597397657345,0.026177361670895488,
170,v1.0,annotator_3,2020-01-08 02:00:00,2,0,SamsungS2,50,standard,0.1194129868401656,0.005208577813696441,
171,v1.0,annotator_1,2020-01-08 03:00:00,2,0,SamsungS2,50,standard,0.12222102844544053,0.01991441996511253,
172,v1.0,annotator_1,2020-01-08 04:00:00,2,0,SamsungS3,50,standard,0.005608989209333897,0.03804815594083591,
173,v1.0,annotator_1,2020-01-08 05:00:00,2,0,SamsungS3,50,rotated_5deg,0.024406684679845102,0.05674231230380209,
174,v1.0,annotator_6,2020-01-08 06:00:00,2,0,SamsungS3,50,standard,0.14783650308710597,0.018208610916582234,
175,v1.0,annotator_4,2020-01-08 07:00:00,2,0,SamsungS2,50,standard,0.02331694212973075,0.08557633392684647,
176,v1.0,annotator_4,2020-01-08 08:00:00,5,0,SamsungS2,50,standard,0.03195229591094197,0.13478098404291322,
177,v1.0,annotator_6,2020-01-08 09:00:00,5,0,SamsungS3,100,standard,0.12039365163275288,0.07412974389873103,
178,v1.0,annotator_6,2020-01-08 10:00:00,5,0,SamsungS2,50,standard,0.059015649552210794,0.12780249108628927,
179,v1.0,annotator_3,2020-01-08 11:00:00,5,0,SamsungS3,50,standard,0.017447451967895915,0.04773132792430025,
180,v1.0,annotator_2,2020-01-08 12:00:00,5,0,SamsungS2,50,standard,0.018764161981624703,0.053033524970317304,
181,v1.0,annotator_2,2020-01-08 13:00:00,5,0,SamsungS3,50,standard,0.012566577414106899,0.09339052964199138,
182,v1.0,annotator_1,2020-01-08 14:00:00,5,0,SamsungS2,100,standard,0.027100246340499495,0.11682027914459839,
183,v1.0,annotator_2,2020-01-08 15:00:00,5,0,SamsungS2,50,standard,0.07454738033119518,0.05217379857731663,
184,v1.0,annotator_2,2020-01-08 16:00:00,5,0,SamsungS2,50,standard,0.0022610783017333546,0.13437848691599802,
185,v1.0,annotator_1,2020-01-08 17:00:00,5,0,SamsungS2,50,rotated_5deg,0.017569678694082824,0.12385598410437568,
186,v1.0,annotator_5,2020-01-08 18:00:00,5,0,SamsungS2,50,standard,0.13606848892301182,0.07168837110671791,
187,v1.0,annotator_5,2020-01-08 19:00:00,5,0,SamsungS3,100,standard,0.13148720567380218,0.06456537461999795,
188,v1.0,annotator_2,2020-01-08 20:00:00,5,0,SamsungS2,50,standard,0.12496205653827158,0.007430396679251538,
189,v1.0,annotator_5,2020-01-08 21:00:00,5,0,SamsungS3,50,standard,0.10594224343817743,0.049363849176945085,
190,v1.0,annotator_4,2020-01-08 22:00:00,5,0,SamsungS2,50,standard,0.099228248534136,0.04091803188890375,
191,v1.0,annotator_2,2020-01-08 23:00:00,5,0,SamsungS2,50,rotated_10deg,0.04132737167434226,0.07137643821317848,
192,v1.0,annotator_4,2020-01-09 00:00:00,5,0,SamsungS3,50,standard,0.05024917987838907,0.027911361764528554,
193,v1.0,annotator_2,2020-01-09 01:00:00,5,0,SamsungS3,100,rotated_5deg,0.03537032693943136,0.03873971559830068,
194,v1.0,annotator_1,2020-01-09 02:00:00,5,0,SamsungS3,50,rotated_5deg,0.14704704480829714,0.05603244332759142,
195,v1.0,annotator_3,2020-01-09 03:00:00,5,0,SamsungS2,50,standard,0.09514571779615102,0.033174306114441346,
196,v1.0,annotator_2,2020-01-09 04:00:00,5,0,SamsungS3,50,rotated_10deg,0.1448651053967718,0.04844978850893635,
197,v1.0,annotator_1,2020-01-09 05:00:00,5,0,SamsungS3,50,standard,0.04076796729934166,0.06135969066208723,
198,v1.0,annotator_3,2020-01-09 06:00:00,5,0,SamsungS3,50,standard,0.09318136675225704,0.06667784116638936,
199,v1.0,annotator_6,2020-01-09 07:00:00,5,0,SamsungS3,100,standard,0.11384261308683868,0.01642969185569825,
200,v1.0,annotator_4,2020-01-09 08:00:00,5,0,SamsungS2,50,rotated_5deg,0.014210863074176393,0.0244295504876127,
201,v1.0,annotator_4,2020-01-09 09:00:00,5,0,SamsungS2,50,standard,0.10004414305287662,0.06103044324168945,
202,v1.0,annotator_4,2020-01-09 10:00:00,4,0,SamsungS2,50,standard,0.02536088513647367,0.03591382200260011,
203,v1.0,annotator_4,2020-01-09 11:00:00,4,0,SamsungS3,50,standard,0.0492123668413233,0.04804719945653971,
204,v1.0,annotator_1,2020-01-09 12:00:00,4,0,SamsungS3,100,standard,0.1074229505769906,0.055698974711550775,
205,v1.0,annotator_6,2020-01-09 13:00:00,4,0,SamsungS3,50,standard,0.066009710297074,0.03874305729473525,
206,v1.0,annotator_5,2020-01-09 14:00:00,4,0,SamsungS2,50,standard,0.13817427799705032,0.061404850818469116,
207,v1.0,annotator_2,2020-01-09 15:00:00,4,0,SamsungS3,50,standard,0.03618033035547507,0.04274258325307304,
208,v1.0,annotator_3,2020-01-09 16:00:00,4,0,SamsungS3,50,standard,0.023067181363504184,0.025913868750768287,
209,v1.0,annotator_3,2020-01-09 17:00:00,4,0,SamsungS2,50,rotated_5deg,0.05057579558538621,0.02566519856457662,
210,v1.0,annotator_1,2020-01-09 18:00:00,4,0,SamsungS2,50,rotated_10deg,0.12778848354064692,0.04045221402968453,
211,v1.0,annotator_2,2020-01-09 19:00:00,4,0,SamsungS3,100,standard,0.12711368330097228,0.07978090072772284,
212,v1.0,annotator_1,2020-01-09 20:00:00,4,0,SamsungS2,50,rotated_5deg,0.05539583699477851,0.06369717096099872,
213,v1.0,annotator_5,2020-01-09 21:00:00,6,0,SamsungS2,50,standard,0.121476347704243,0.009208641627684063,
214,v1.0,annotator_1,2020-01-09 22:00:00,6,0,SamsungS2,50,standard,0.011668237912584216,0.03645422744090668,
215,v1.0,annotator_2,2020-01-09 23:00:00,6,0,SamsungS2,50,standard,0.0011402399704500187,0.02974463928983918,
216,v1.0,annotator_1,2020-01-10 00:00:00,6,0,SamsungS2,50,rotated_5deg,0.12972071263689003,0.024666029194829447,
217,v1.0,annotator_4,2020-01-10 01:00:00,6,0,SamsungS3,50,standard,0.1311107529302241,0.04470064894167995,
218,v1.0,annotator_6,2020-01-10 02:00:00,6,0,SamsungS2,50,standard,0.021509832500720447,0.05604911315927739,
219,v1.0,annotator_3,2020-01-10 03:00:00,6,0,SamsungS3,50,rotated_5deg,0.04465715018237789,0.04770056578811199,
220,v1.0,annotator_1,2020-01-10 04:00:00,6,0,SamsungS2,100,rotated_10deg,0.12758943642018397,0.04874463219872228,
